G01,Mlp1,0
M13,Mlp1,3
L13,Mlp1,5
O13,Mlp1,7
K13,Mlp1,9
N13,Mlp1,11
F20,Mlp1,14
G02,Mlp2,0
M14,Mlp2,3
L14,Mlp2,5
O14,Mlp2,7
K14,Mlp2,9
N14,Mlp2,11
F21,Mlp2,14
